title,color,url
"Mount, ca. 1810","#9c7c38","https://collection.cooperhewitt.org/objects/18141235/"
"Mount, ca. 1810","#bab86c","https://collection.cooperhewitt.org/objects/18141235/"
"Mount, ca. 1810","#9f8170","https://collection.cooperhewitt.org/objects/18141235/"
"Mount, ca. 1810","#714b23","https://collection.cooperhewitt.org/objects/18141235/"
"Mount, ca. 1810","#edd19c","https://collection.cooperhewitt.org/objects/18141235/"
"Plate (France), 1710–30","#414a4c","https://collection.cooperhewitt.org/objects/18155149/"
"Plate (France), 1710–30","#4a646c","https://collection.cooperhewitt.org/objects/18155149/"
"Plate (France), 1710–30","#714b23","https://collection.cooperhewitt.org/objects/18155149/"
"Plate (France), 1710–30","#85754e","https://collection.cooperhewitt.org/objects/18155149/"
"Plate (France), 1710–30","#757575","https://collection.cooperhewitt.org/objects/18155149/"
"Mount, ca 1805","#9c7c38","https://collection.cooperhewitt.org/objects/18141313/"
"Mount, ca 1805","#bab86c","https://collection.cooperhewitt.org/objects/18141313/"
"Mount, ca 1805","#714b23","https://collection.cooperhewitt.org/objects/18141313/"
"Mount, ca 1805","#95918c","https://collection.cooperhewitt.org/objects/18141313/"
"Mount, ca 1805","#edd19c","https://collection.cooperhewitt.org/objects/18141313/"
"Mount, ca 1800","#9c7c38","https://collection.cooperhewitt.org/objects/18142947/"
"Mount, ca 1800","#714b23","https://collection.cooperhewitt.org/objects/18142947/"
"Mount, ca 1800","#bab86c","https://collection.cooperhewitt.org/objects/18142947/"
"Mount, ca 1800","#95918c","https://collection.cooperhewitt.org/objects/18142947/"
"Cooling Pail (France)","#979aaa","https://collection.cooperhewitt.org/objects/18153503/"
"Cooling Pail (France)","#757575","https://collection.cooperhewitt.org/objects/18153503/"
"Cooling Pail (France)","#4a646c","https://collection.cooperhewitt.org/objects/18153503/"
"Mount (France), ca. 1780","#9c7c38","https://collection.cooperhewitt.org/objects/18166971/"
"Mount (France), ca. 1780","#714b23","https://collection.cooperhewitt.org/objects/18166971/"
"Mount (France), ca. 1780","#bab86c","https://collection.cooperhewitt.org/objects/18166971/"
"Mount (France), ca. 1780","#dbd7d2","https://collection.cooperhewitt.org/objects/18166971/"
"Mount (France), ca. 1780","#979aaa","https://collection.cooperhewitt.org/objects/18166971/"
"Cooler","#9c7c38","https://collection.cooperhewitt.org/objects/18312433/"
"Cooler","#deaa88","https://collection.cooperhewitt.org/objects/18312433/"
"Cooler","#85754e","https://collection.cooperhewitt.org/objects/18312433/"
"Cooler","#414a4c","https://collection.cooperhewitt.org/objects/18312433/"
"Cooler","#eceabe","https://collection.cooperhewitt.org/objects/18312433/"
"Book, Suite de dessins chinois (Album of Chinoiserie)","#414a4c","https://collection.cooperhewitt.org/objects/18223029/"
"Book, Suite de dessins chinois (Album of Chinoiserie)","#6e5160","https://collection.cooperhewitt.org/objects/18223029/"
"Book, Suite de dessins chinois (Album of Chinoiserie)","#9f8170","https://collection.cooperhewitt.org/objects/18223029/"
"Book, Suite de dessins chinois (Album of Chinoiserie)","#85754e","https://collection.cooperhewitt.org/objects/18223029/"
"Book, Suite de dessins chinois (Album of Chinoiserie)","#6e5160","https://collection.cooperhewitt.org/objects/18223029/"
"Object ID #18319413","#714b23","https://collection.cooperhewitt.org/objects/18319413/"
"Object ID #18319413","#9c7c38","https://collection.cooperhewitt.org/objects/18319413/"
"Object ID #18319413","#757575","https://collection.cooperhewitt.org/objects/18319413/"
"Object ID #18319413","#d68a59","https://collection.cooperhewitt.org/objects/18319413/"
"Object ID #18319413","#85754e","https://collection.cooperhewitt.org/objects/18319413/"
"Brisé Fan, late 19th–early 20th century","#efdecd","https://collection.cooperhewitt.org/objects/18382453/"
"Brisé Fan, late 19th–early 20th century","#c46210","https://collection.cooperhewitt.org/objects/18382453/"
"Brisé Fan, late 19th–early 20th century","#cd9575","https://collection.cooperhewitt.org/objects/18382453/"
"Plate Depicting Sèvres Porcelain Factory (France), 1822","#cdc5c2","https://collection.cooperhewitt.org/objects/18340339/"
